numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
1,"Wiślany Mokotów, 2 pokoje z tarasem/ogródkiem, kameralne osiedle",990 000 zł,Warszawa,Brak danych,"49,68 m² - 19927.54 zł/m²",2 pokoje,Brak danych
2,"Nowe mieszkanie, Siedlce, ul. Sowińskiego, 50,55 m2",545 940 zł,Brak danych,Brak danych,"50,55 m² - 10800 zł/m²",Brak danych,Brak danych
3,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
4,Mieszkanie na sprzedaż w Gliwicach przy ul.Henryka Sienkiewicza,474 900 złdo negocjacji,Stare Gliwice - Odświeżono Dzisiaj O 15:36,Gliwice,68 m² - 6983.82 zł/m²,Brak danych,Brak danych
5,"Mieszkanie 64m na sprzedaż, ul. Gajowicka- Bezpośrednio od właściciela",775 000 złdo negocjacji,Wrocław,Brak danych,64 m² - 12109.38 zł/m²,Brak danych,Brak danych
6,Sprzedam mieszkanie Kraków,799 000 zł,Kraków,Brak danych,56 m² - 14267.86 zł/m²,Brak danych,Brak danych
7,3 pokoje/ 2 pietro/ dostepne od zaraz/ FORDON,469 000 złdo negocjacji,Bydgoszcz - Odświeżono Dzisiaj O 11:38,Brak danych,60 m² - 7816.67 zł/m²,3 pokoje,Brak danych
8,Mieszkanie na sprzedaz,518 000 złdo negocjacji,Szczecin,Brak danych,74 m² - 7000 zł/m²,Brak danych,Brak danych
9,Sprzedam mieszkanie 88m Piła Zielona Dolina,990 000 złdo negocjacji,Brak danych,Brak danych,88 m² - 11250 zł/m²,Brak danych,Brak danych
10,Okazja Nowa Cena 2 pokojowe mieszkanie przy ul. Smętka w Olsztynie,445 000 zł,Olsztyn - Odświeżono Dzisiaj O 20:21,Brak danych,"47,90 m² - 9290.19 zł/m²",2 pokoje,Brak danych
11,Swietne mieszkanie blisko Centrum - mozliwość aranżacji na 4 pokojowe,856 500 zł,Kraków,Brak danych,"57,10 m² - 15000 zł/m²",4 pokoje,Brak danych
12,"REZERWACJA! Mysłowice Brzęczkowice ul. W. Korfantego, 3pokoje, 67m kw.",399 000 zł,Brak danych,Brak danych,67 m² - 5955.22 zł/m²,3 pokoje,Brak danych
13,Słoneczna kawalerka,270 000 zł,Częstochowa,Brak danych,34 m² - 7941.18 zł/m²,1 pokój,Brak danych
14,"Mieszkanie dwupoziomowe 83.77m2, 3 balkony, klimatyzacja, piwnica",525 000 złdo negocjacji,Brak danych,Brak danych,"83,77 m² - 6267.16 zł/m²",Brak danych,Brak danych
15,"Gotowiec inwestycyjny, 4 pokoje, ul. Pana Tadeusza",489 000 zł,Olsztyn - Odświeżono Dzisiaj O 18:16,Brak danych,"48,20 m² - 10145.23 zł/m²",4 pokoje,Brak danych
16,"Mieszkanie 3 pokoje, Loggia, 47m2 , gotowe do wprowadzenia",389 500 zł,Koszalin - Odświeżono Dzisiaj O 07:37,Brak danych,47 m² - 8287.23 zł/m²,3 pokoje,Brak danych
17,"Bezpośrednio 2 pokoje Kraków,Os. Albertyńskie!Do zamieszkania",689 000 złdo negocjacji,Kraków,Brak danych,"42,28 m² - 16296.12 zł/m²",2 pokoje,Brak danych
18,Mieszkanie 2 pokojowe PARTER koło Fabryki Wody,460 000 zł,Szczecin,Brak danych,32 m² - 14375 zł/m²,2 pokoje,Parter
19,Sprzedam mieszkanie 2 pietro 45m2 Hermana,299 000 zł,Płock - Odświeżono Dzisiaj O 08:22,Brak danych,45 m² - 6644.44 zł/m²,Brak danych,Brak danych
20,Mieszkanie Nysa Gałczyńskiego,249 999 złdo negocjacji,Brak danych,Brak danych,33 m² - 7575.73 zł/m²,Brak danych,Brak danych
21,"Mieszkanie, Szczecin",789 000 zł,Szczecin,Brak danych,85 m² - 9282.35 zł/m²,Brak danych,Brak danych
22,Mieszkanie 2 oddzielne pokoje ul. Dąbrowskiego 44 BEZPOŚREDNIO,285 000 złdo negocjacji,Łódź,Brak danych,"36,74 m² - 7757.21 zł/m²",Brak danych,Brak danych
23,Mieszkanie ul.Asnyka Bielsko-Biała dwupokojowe z komórką niskie opłaty,374 530 zł,Bielsko-Biała - 16 Lipca 2025,Brak danych,"34,84 m² - 10750 zł/m²",Brak danych,Brak danych
24,Przytulne 2‑pokojowe mieszkanie na Górczynie – gotowe do zamieszkania!,319 000 zł,Gorzów Wielkopolski - 15 Lipca 2025,Brak danych,"32,42 m² - 9839.61 zł/m²",Brak danych,Brak danych
25,Mieszkanie Kawalerka 2 piętro,159 000 zł,Płock - Odświeżono Dnia 16 Lipca 2025,Brak danych,"20,10 m² - 7910.45 zł/m²",1 pokój,2 piętro
26,"Rumia – 2 pokoje z ogródkiem! Komfort, spokój i świetna lokalizacja",533 000 zł,Brak danych,Brak danych,41 m² - 13000 zł/m²,2 pokoje,Brak danych
27,"Sprzedam udział 2/3 mieszkanie 46,9m2 Pionki obok Radomia",27 000 zł,Radom,Brak danych,"46,90 m² - 575.69 zł/m²",Brak danych,Brak danych
28,"Mieszkanie na sprzedaż, Śródmieście Lublin, ***WYSOKI STANDARD***",520 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj O 18:48,Brak danych,44 m² - 11818.18 zł/m²,Brak danych,Brak danych
29,"Kawalerka 32,17m2, Na Miasteczku/Rondo Rataje",498 000 zł,Poznań,Brak danych,"32,17 m² - 15480.26 zł/m²",1 pokój,Brak danych
30,"Mieszkanie na sprzedaż, 48m2 Stare Bałuty - pięć minut od Manufaktury!",310 000 zł,Łódź,Brak danych,48 m² - 6458.33 zł/m²,Brak danych,Brak danych
31,"3 pokoje | 50,94 m² | Balkon + Piwnica | 10 piętro | Bielany Piaski",698 000 zł,Warszawa,Brak danych,50 m² - 13960 zł/m²,3 pokoje,10 piętro
32,Mieszkanie w nowym bloku. Balkon 16m2 widokiem na Wisłę.,533 000 złdo negocjacji,Brak danych,Brak danych,"62,75 m² - 8494.02 zł/m²",Brak danych,Brak danych
33,Sprzedam mieszkanie 69 m2 do remontu,369 000 złdo negocjacji,Szczecin,Brak danych,69 m² - 5347.83 zł/m²,Brak danych,Brak danych
34,"Kawalerka 32 m² z balkonem i piwnicą, ul. Puławska",368 000 zł,Lublin - Odświeżono Dzisiaj O 12:02,Brak danych,32 m² - 11500 zł/m²,1 pokój,Brak danych
35,Na sprzedaż -2- pokojowe mieszkanie z garażem Warszawa Zacisze,750 000 złdo negocjacji,Warszawa,Brak danych,"56,60 m² - 13250.88 zł/m²",Brak danych,Brak danych
36,"2-poziomowe, nowoczesne mieszkanie z garażem Pruszków",899 900 zł,Brak danych,Brak danych,75 m² - 11998.67 zł/m²,Brak danych,Brak danych
37,Stylowe 3 pokoje | Grabiszyn/Hallera | po remoncie,635 000 zł,Wrocław,Brak danych,"46,45 m² - 13670.61 zł/m²",3 pokoje,Brak danych
38,"Nowe 3-pok. mieszkanie dostępne od ręki , bezpośrednio od dewelopera .",628 995 złdo negocjacji,Brak danych,Brak danych,"66,20 m² - 9501.44 zł/m²",Brak danych,Brak danych
39,Przytulne mieszkanie blisko uczelni,619 000 zł,Lublin - Odświeżono Dzisiaj O 09:44,Brak danych,63 m² - 9825.4 zł/m²,Brak danych,Brak danych
40,Na sprzedaż mieszkanie,250 000 złdo negocjacji,Radom - Odświeżono Dzisiaj O 18:54,Brak danych,30 m² - 8333.33 zł/m²,Brak danych,Brak danych
41,3 Pokoje 65 m2 Parter Balkon Klima Alarm Idealne Prywatnie,649 999 zł,Radom - Odświeżono Dzisiaj O 12:24,Brak danych,65 m² - 9999.98 zł/m²,3 pokoje,Parter
42,"UNIWERSYTET ŁÓDZKI 2 pokoje ,Balkon, Winda od parteru.",349 000 zł,Łódź,Brak danych,34 m² - 10264.71 zł/m²,2 pokoje,Parter
43,Mieszkanie 2-pokojowe z balkonem,255 000 zł,Brak danych,Brak danych,44 m² - 5795.45 zł/m²,Brak danych,Brak danych
44,Sprzedam mieszkanie - Os. Bocianek 2 pokoje,390 000 złdo negocjacji,Kielce - Odświeżono Dzisiaj O 16:05,Brak danych,"47,30 m² - 8245.24 zł/m²",2 pokoje,Brak danych
45,Mieszkanie 35 m2 - udziały w większej nieruchomości,160 000 zł,Toruń - Odświeżono Dzisiaj O 18:18,Brak danych,35 m² - 4571.43 zł/m²,Brak danych,Brak danych
46,Słoneczne i wyposażone mieszkanie na Dąbrowie,292 000 zł,Łódź,Brak danych,27 m² - 10814.81 zł/m²,Brak danych,Brak danych
47,3 sypialnie-mieszkanie po remoncie-Wrotków-61m2,499 000 zł,Lublin - Odświeżono Dzisiaj O 17:11,Brak danych,"61,47 m² - 8117.78 zł/m²",Brak danych,Brak danych
48,"Sprzedam mieszkanie M-4, 65,10m2, monitoring, Częstochowa Północ",395 000 złdo negocjacji,Częstochowa,Brak danych,"65,10 m² - 6067.59 zł/m²",Brak danych,Brak danych
49,Trynek | Mieszkanie 3-pokojowe | Po generalnym remoncie | PRYWATNIE,438 000 złdo negocjacji,Gliwice,Brak danych,"49,51 m² - 8846.7 zł/m²",Brak danych,Brak danych
50,"Mieszkanie 47,5 m Wrocław na Komuny Paryskiej, śródmieście",620 000 zł,Wrocław,Brak danych,"47,50 m² - 13052.63 zł/m²",Brak danych,Brak danych
51,"Wysoki Parter, Wieniawa - 3 pokoje po Remoncie, Parking za Szlabanem",549 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj O 11:17,Brak danych,"46,70 m² - 11755.89 zł/m²",3 pokoje,Parter
52,"Na sprzedaż 2-pokojowe mieszkanie – Wrocław, Muchobór wielki",520 000 złdo negocjacji,Wrocław,Brak danych,50 m² - 10400 zł/m²,Brak danych,Brak danych
53,"Mieszkanie 38,54 m²",292 900 złdo negocjacji,Brak danych,Brak danych,"38,50 m² - 7607.79 zł/m²",Brak danych,Brak danych
54,Kawalerka na sprzedaż,259 000 zł,Brak danych,Brak danych,38 m² - 6815.79 zł/m²,1 pokój,Brak danych
55,Bytom ul. Gliwicka 10 - inwestycyjna kawalerka w centrum miasta,159 000 zł,Bytom - Odświeżono Dnia 16 Lipca 2025,Brak danych,"16,50 m² - 9636.36 zł/m²",1 pokój,Brak danych
56,Mieszkanie na sprzedaż Katowice Bogucice 4 pok. 73 m2 balkon - OKAZJA!,434 000 zł,Katowice,Brak danych,73 m² - 5945.21 zł/m²,Brak danych,Brak danych
57,"Wyremontowane mieszkanie w Kamionku, gm.Szczytno",329 000 złdo negocjacji,Brak danych,Brak danych,49 m² - 6714.29 zł/m²,Brak danych,Brak danych
58,"Dwustronne mieszkanie z tarasem, loggią i komórką lokatorską",1 290 000 zł,Warszawa,Brak danych,"48,38 m² - 26663.91 zł/m²",Brak danych,Brak danych
59,Mieszkanie 37m²⭐2 pokoje⭐Winda⭐Piwnica⭐Księga Wieczysta,535 000 zł,Warszawa - Odświeżono Dzisiaj O 13:48,Brak danych,37 m² - 14459.46 zł/m²,2 pokoje,Brak danych
60,3 pokojowe mieszkanie w centrum Garwolina | Jeszcze pachnie nowością,459 000 zł,Brak danych,Brak danych,46 m² - 9978.26 zł/m²,3 pokoje,Brak danych
61,"Mieszkanie w Łodzi 39,88 m2 ul. Daniłowskiego Osiedle Mireckiego",279 000 złdo negocjacji,Łódź,Brak danych,"39,88 m² - 6995.99 zł/m²",Brak danych,Brak danych
62,Kraków/Azory/ul. Jaremy 5/mieszkanie 2 pokojowe/balkon,554 900 zł,Kraków,Brak danych,42 m² - 13211.9 zł/m²,2 pokoje,Brak danych
63,"3 pokoje, 45,80 m², Wrocław – Inowrocławska | Po remoncie, balkon",590 000 złdo negocjacji,Wrocław,Brak danych,"45,80 m² - 12882.1 zł/m²",3 pokoje,Brak danych
64,Mieszkanie Opole ZWM 51M2 2 Pokoje Balkon Winda dla niepełnosprawnych,499 000 złdo negocjacji,Opole - Odświeżono Dnia 16 Lipca 2025,Brak danych,50 m² - 9980 zł/m²,2 pokoje,Brak danych
65,Mieszkanie 3 pokojowe przestronne Mińsk Mazowiecki 68m bezpośrednio,809 000 złdo negocjacji,Brak danych,Brak danych,68 m² - 11897.06 zł/m²,3 pokoje,Brak danych
66,Sprzedam / Bezposrednio M2 - Duza Kawalerka 31m2 /Retkinia ul. Rajdowa,249 000 zł,Łódź,Brak danych,31 m² - 8032.26 zł/m²,1 pokój,Brak danych
67,"Mieszkanie 3 pokoje, Loggia, 47m2 , gotowe do wprowadzenia",389 500 zł,Koszalin - Odświeżono Dzisiaj O 07:37,Brak danych,47 m² - 8287.23 zł/m²,3 pokoje,Brak danych
68,Metro Imielin 3 pokoje widok na las i centrum,850 000 zł,Warszawa,Brak danych,69 m² - 12318.84 zł/m²,3 pokoje,Brak danych
69,Dwupokojowe ustawne mieszkanie | świetna lokalizacja | 1. piętro,205 000 złdo negocjacji,Ruda Śląska - Odświeżono Dnia 16 Lipca 2025,Brak danych,"37,80 m² - 5423.28 zł/m²",Brak danych,205 piętro
70,"REZERWACJA Kawalerka na Południu Łomży z dużym ogródkiem, balkonem",244 000 zł,Brak danych,Brak danych,25 m² - 9760 zł/m²,1 pokój,Brak danych
71,"BEZPOŚREDNIO, mieszkanie w cichej okolicy, teren zamknięty, parking",399 000 zł,Łódź,Brak danych,44 m² - 9068.18 zł/m²,Brak danych,Brak danych
72,Piękne mieszkanie otulone zielenią,545 000 zł,Warszawa,Brak danych,"31,20 m² - 17467.95 zł/m²",Brak danych,Brak danych
73,"Dwupokojowe urocze mieszkanie, Jar, widok na las",465 000 zł,Toruń - Odświeżono Dzisiaj O 10:52,Brak danych,36 m² - 12916.67 zł/m²,Brak danych,Brak danych
74,Mieszkanie 2-pokojowe na sprzedaż-gotowe do zamieszkania,637 000 złdo negocjacji,Brak danych,Brak danych,38 m² - 16763.16 zł/m²,Brak danych,Brak danych
75,Na sprzedaż 3 pokojowe mieszkanie w domu dwurodzinnym – Bartoszyce,360 000 zł,Brak danych,Brak danych,"61,20 m² - 5882.35 zł/m²",3 pokoje,Brak danych
76,Sprzedam Mieszkanie w Gdyni Blisko Plaży Super Lokalizacja,1 099 000 złdo negocjacji,Gdynia,Brak danych,71 m² - 15478.87 zł/m²,Brak danych,Brak danych
77,Centrum | 3 pokoje | Wysoki standard | Gotowe do zamieszkania,475 000 złdo negocjacji,Szczecin,Brak danych,43 m² - 11046.51 zł/m²,3 pokoje,Brak danych
78,Mieszkanie w inwestycji Harmony Suwałki,430 000 zł,Brak danych,Brak danych,"45,75 m² - 9398.91 zł/m²",Brak danych,Brak danych
79,Mieszkanie 51 m2 Piekary C (Witolda Gombrowicza),330 000 zł,Legnica - 29 Czerwca 2025,Brak danych,51 m² - 6470.59 zł/m²,Brak danych,Brak danych
80,*Nowe mieszkanie bez-czynszowe 74m2 Budynek 9*,520 000 zł,Brak danych,Brak danych,"74,24 m² - 7004.31 zł/m²",Brak danych,Brak danych
81,3 pokoje | 52.98 m² | Balkon | Winda | Stan deweloperski,431 787 zł,Brak danych,Brak danych,"52,98 m² - 8150 zł/m²",3 pokoje,Brak danych
82,Studio mieszkanie/Mokotów,2 750 zł,Warszawa,Brak danych,23 m² - 119.57 zł/m²,Brak danych,Brak danych
83,2 pokojowe mieszkanie gotowe do wprowadzenia (dla pary/ dla studenta),695 000 zł,Warszawa,Brak danych,"41,30 m² - 16828.09 zł/m²",2 pokoje,Brak danych
84,Mieszkanie/segment zewnętrzny z ogródkiem,510 000 zł,Radom - Odświeżono Dnia 16 Lipca 2025,Brak danych,99 m² - 5151.52 zł/m²,Brak danych,Brak danych
85,3 Pokoje | Staszica | Matejki | 1 Piętro | Balkon,419 900 zł,Gorzów Wielkopolski - Odświeżono Dzisiaj O 08:41,Brak danych,48 m² - 8747.92 zł/m²,3 pokoje,1 piętro
86,"Mieszkanie, Sochaczew",450 000 złdo negocjacji,Brak danych,Brak danych,48 m² - 9375 zł/m²,Brak danych,Brak danych
87,"Mieszkanie 60 m2, Jana Pawła II 27, Podolszyce Płd. BEZPOŚREDNIO !!",425 000 złdo negocjacji,Płock - Odświeżono Dzisiaj O 10:22,Brak danych,60 m² - 7083.33 zł/m²,Brak danych,Brak danych
88,Słoneczne 4 pokoje poniżej 14 tys/m2 - > Idealne dla Rodziny,1 210 000 zł,Warszawa,Brak danych,87 m² - 13908.05 zł/m²,4 pokoje,Brak danych
89,"Mieszkanie - 51,8m² - Garaż - Parkitka - Bezpośrednio",445 000 zł,Częstochowa,Brak danych,"51,80 m² - 8590.73 zł/m²",Brak danych,Brak danych
90,"Kawalerka w Centrum Poznania, 29 m2",330 000 zł,Poznań,Brak danych,29 m² - 11379.31 zł/m²,1 pokój,Brak danych
91,Słoneczne 2 pokoje w Centrum Gdańska obok W. Spichrzów- zobacz na żywo,392 700 zł,Gdańsk,Brak danych,"35,04 m² - 11207.19 zł/m²",2 pokoje,Brak danych
92,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
93,Komfortowe mieszkanie 50m² z miejscem postojowym i komórką lokatorską,640 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj O 11:30,Brak danych,50 m² - 12800 zł/m²,Brak danych,Brak danych
94,Nowe mieszkanie w stanie deweloperskim ul. Robotnicza - od ręki!,337 000 zł,Brak danych,Brak danych,"39,08 m² - 8623.34 zł/m²",Brak danych,Brak danych
95,"Sprzedam mieszkanie 44,2 m² – Białystok, Bacieczki, Pileckiego",475 000 zł,Białystok,Brak danych,"44,20 m² - 10746.61 zł/m²",Brak danych,Brak danych
96,Doskonałe mieszkanie na sprzedaż,459 000 zł,Brak danych,Brak danych,"64,80 m² - 7083.33 zł/m²",Brak danych,Brak danych
97,Mieszkanie 2pok Super lokalizacja,457 770 złdo negocjacji,Gdynia,Brak danych,"35,40 m² - 12931.36 zł/m²",Brak danych,Brak danych
98,Na sprzedaz mieszkanie po generalnym remoncie Kopernik na parterze,475 000 zł,Brak danych,Brak danych,"60,30 m² - 7877.28 zł/m²",Brak danych,Parter
99,"Mieszkanie 2-pokojowe, 41 m2 z balkonem. Wałbrzych, Podzamcze",220 000 zł,Wałbrzych - Odświeżono Dzisiaj O 12:18,Brak danych,41 m² - 5365.85 zł/m²,Brak danych,Brak danych
100,"Komfortowe, wyremontowane 3-pokojowe mieszkanie",1 900 złdo negocjacji,Brak danych,Brak danych,67 m² - 28.36 zł/m²,Brak danych,Brak danych
101,"Mieszkanie 2 pokoje, 47m2 gotowe do wprowadzenia",365 000 zł,Koszalin - Odświeżono Dzisiaj O 07:23,Brak danych,48 m² - 7604.17 zł/m²,2 pokoje,Brak danych
102,"Węglin Południowy – przestronne 72m², 3 pokoje",699 000 zł,Lublin - Odświeżono Dzisiaj O 17:11,Brak danych,71 m² - 9845.07 zł/m²,3 pokoje,Brak danych
103,Wyremontowane Mieszkanie Blisko Centrum – Idealne na Start,319 999 złdo negocjacji,Zabrze - Odświeżono Dzisiaj O 10:30,Brak danych,38 m² - 8421.03 zł/m²,Brak danych,Brak danych
104,Mieszkanie 52m2+ 30m2 ogródek z piwnicą . Lublin - Kryształowa,625 000 zł,Lublin - Odświeżono Dnia 16 Lipca 2025,Brak danych,52 m² - 12019.23 zł/m²,Brak danych,Brak danych
105,"3 pokoje po generalnym remoncie – Bracka, Łódź – wprowadź się od razu!",569 000 zł,Łódź,Brak danych,55 m² - 10345.45 zł/m²,3 pokoje,Brak danych
106,mieszkanie 2 pokoje ściesłe ciche centrum plac kościuszki,499 000 złdo negocjacji,Szczecin,Brak danych,"42,20 m² - 11824.64 zł/m²",2 pokoje,Brak danych
107,Mieszkanie na sprzedaż w bliskiej okolicy centrum miasta.,365 000 zł,Brak danych,Brak danych,"54,06 m² - 6751.76 zł/m²",Brak danych,Brak danych
108,Przytulne mieszkanie 2 pokojowe BEZ POŚREDNIKÓW,405 000 złdo negocjacji,Szczecin,Brak danych,"37,50 m² - 10800 zł/m²",2 pokoje,Brak danych
109,Mieszkanie wraz z meblami w centrum Tarnowskich Gór bez pośredników,449 000 złdo negocjacji,Brak danych,Brak danych,52 m² - 8634.62 zł/m²,Brak danych,Brak danych
110,2 pokoje/ parter/ Do generalnego remontu,189 000 zł,Szczecin - Dzisiaj O 13:03,Brak danych,"34,12 m² - 5539.27 zł/m²",2 pokoje,Parter
111,"Mieszkanie, 3 pokoje, Piekary Śl. | bezczynszowe",290 000 zł,Brak danych,Brak danych,71 m² - 4084.51 zł/m²,3 pokoje,Brak danych
112,"Mieszkanie 2 pokoje, parter.",219 000 zł,Elbląg - Odświeżono Dzisiaj O 10:37,Brak danych,22 m² - 9954.55 zł/m²,2 pokoje,Parter
113,Mieszkanie 2-pokojowe z balkonem os.SIKORNIK - Polecam,359 000 zł,Gliwice,Brak danych,"46,40 m² - 7737.07 zł/m²",Brak danych,Brak danych
114,"Mieszkanie 2 pokojowe 1p. Osiedle Przyjaźni 50,8m2",459 000 zł,Brak danych,Brak danych,"50,80 m² - 9035.43 zł/m²",2 pokoje,1 piętro
115,Sprzedam mieszkanie - Os. Bocianek 2 pokoje,390 000 złdo negocjacji,Kielce - Odświeżono Dzisiaj O 16:05,Brak danych,"47,30 m² - 8245.24 zł/m²",2 pokoje,Brak danych
116,"Prywatnie, po remoncie loggia z widokiem zieleń 2 duże pokoje 2 piętro",374 000 zł,Bydgoszcz - Odświeżono Dnia 15 Lipca 2025,Brak danych,38 m² - 9842.11 zł/m²,Brak danych,2 piętro
117,MIESZKANIE 3 POKOJE 47 m2 ulica Dworska 13c,448 900 zł,Katowice,Brak danych,47 m² - 9551.06 zł/m²,3 pokoje,Brak danych
118,"Kawalerka 14,6 m2 w Wesołej przy PKP",215 000 zł,Warszawa,Brak danych,"14,55 m² - 14776.63 zł/m²",1 pokój,Brak danych
119,Mieszkanie po generalnym remoncie Dąbrowa Górnicza Legionów Polskich,311 000 złdo negocjacji,Brak danych,Brak danych,"36,60 m² - 8497.27 zł/m²",Brak danych,Brak danych
120,Wykończona kawalerka gotowa do najmu,185 000 zł,Poznań,Brak danych,25 m² - 7400 zł/m²,1 pokój,Brak danych
121,"3 pokoje po remoncie, 1 piętro, os. Hallera",349 000 zł,Brak danych,Brak danych,"46,71 m² - 7471.63 zł/m²",3 pokoje,1 piętro
122,Bezpośrednio - Kawalerka - Sikornik,207 000 zł,Gliwice,Brak danych,"28,70 m² - 7212.54 zł/m²",1 pokój,Brak danych
123,Mieszkanie 54m2 na sprzedaż,240 000 złdo negocjacji,Brak danych,Brak danych,54 m² - 4444.44 zł/m²,Brak danych,Brak danych
124,"Mieszkanie 56 m2, 3 pokoje, w pełni wyposażone, 3 piętro, Ursus",790 000 złdo negocjacji,Warszawa,Brak danych,56 m² - 14107.14 zł/m²,3 pokoje,3 piętro
125,Mieszkanie oświęcim ul.budowlanych,245 000 złdo negocjacji,Brak danych,Brak danych,36 m² - 6805.56 zł/m²,Brak danych,Brak danych
126,"3 pokoje po generalnym remoncie – Bracka, Łódź – wprowadź się od razu!",569 000 zł,Łódź,Brak danych,55 m² - 10345.45 zł/m²,3 pokoje,Brak danych
127,3 pokoje | Śródmieście | Parking | 54 m2,250 000 zł,Sosnowiec - Dzisiaj O 12:49,Brak danych,"53,96 m² - 4633.06 zł/m²",3 pokoje,Brak danych
128,Przytulne mieszkanie 2 pokojowe BEZ POŚREDNIKÓW,405 000 złdo negocjacji,Szczecin,Brak danych,"37,50 m² - 10800 zł/m²",2 pokoje,Brak danych
129,"NOWE, trzypokojowe, świeżo wykończone mieszkanie",999 000 zł,Gdańsk,Brak danych,68 m² - 14691.18 zł/m²,Brak danych,Brak danych
130,"Sprzedam mieszkanie 36,5 m2 Gdańsk Osowa",499 999 zł,Gdańsk,Brak danych,"36,50 m² - 13698.6 zł/m²",Brak danych,Brak danych
131,Rozkładowe 58m | 3 Pokoje | Podjuchy | ul. F. Szarego | Balkon,449 900 zł,Szczecin - Odświeżono Dzisiaj O 20:26,Brak danych,58 m² - 7756.9 zł/m²,3 pokoje,Brak danych
132,Mieszkanie 42m2 parter,290 000 zł,Szczecin,Brak danych,"42,46 m² - 6829.96 zł/m²",Brak danych,Parter
133,Sprzedam Mieszkanie,265 000 złdo negocjacji,Brak danych,Brak danych,42 m² - 6309.52 zł/m²,Brak danych,Brak danych
134,Sprzedam mieszkanie 3 piętro po generalnym remoncie,369 000 złdo negocjacji,Brak danych,Brak danych,46 m² - 8021.74 zł/m²,Brak danych,3 piętro
135,"Mieszkanie 66 m 3p. Gdynia Kamienna Góra, Słowackiego",789 000 złdo negocjacji,Gdynia,Brak danych,"66,15 m² - 11927.44 zł/m²",Brak danych,3 piętro
136,"Na sprzedaż: 2-pokojowe mieszkanie, 36 m² – Rubinkowo II, Toruń",360 000 zł,Toruń - Dzisiaj O 17:41,Brak danych,36 m² - 10000 zł/m²,Brak danych,Brak danych
137,Mieszkanie 2pok Super lokalizacja,457 770 złdo negocjacji,Gdynia,Brak danych,"35,40 m² - 12931.36 zł/m²",Brak danych,Brak danych
138,Sprzedam mieszkanie,220 000 zł,Brak danych,Brak danych,40 m² - 5500 zł/m²,Brak danych,Brak danych
139,Dwa pokoje z widokiem na morze na zielonym Niedźwiedniku,550 000 zł,Gdańsk,Brak danych,38 m² - 14473.68 zł/m²,Brak danych,Brak danych
140,Mieszkanie nad zalewem. Grabskiego. Rzeszów.,580 000 zł,Rzeszów - Odświeżono Dzisiaj O 11:36,Brak danych,45 m² - 12888.89 zł/m²,Brak danych,Brak danych
141,"Mieszkanie, 46,62 m2, Koszarowa",536 130 zł,Brak danych,Brak danych,"46,62 m² - 11500 zł/m²",Brak danych,Brak danych
142,4 pok. wyposażone i klimatyzowane mieszkanie - bez podatku PCC,1 290 000 złdo negocjacji,Kraków,Brak danych,"69,23 m² - 18633.54 zł/m²",Brak danych,Brak danych
143,"NOWE MIESZKANIE 72 m2 Bezczynszowe z Fotowoltaiką, Ogródkiem 28-73",495 000 zł,Brak danych,Brak danych,72 m² - 6875 zł/m²,Brak danych,Brak danych
144,"NOWE MIESZKANIE 50 m² – Bezczynszowe, z Fotowoltaiką i Ogródkiem 40~62",449 000 zł,Brak danych,Brak danych,50 m² - 8980 zł/m²,Brak danych,Brak danych
145,Kawalerka I centrum I umeblowane I Łódź,334 900 złdo negocjacji,Łódź,Brak danych,"26,63 m² - 12576.04 zł/m²",1 pokój,Brak danych
146,3 pokoje po remoncie na Bema,499 000 zł,Toruń - 03 Lipca 2025,Brak danych,"61,30 m² - 8140.29 zł/m²",3 pokoje,Brak danych
147,Nowe mieszkanie w stanie deweloperskim ul. Robotnicza- od ręki!,397 000 zł,Brak danych,Brak danych,"49,28 m² - 8056.01 zł/m²",Brak danych,Brak danych
148,Przytulne mieszkanie - 35 m2 - Bydgoszcz Centrum,289 000 zł,Bydgoszcz - Dzisiaj O 13:34,Brak danych,"34,57 m² - 8359.85 zł/m²",Brak danych,Brak danych
149,Sprzedam mieszkanie kawalerkę,287 000 zł,Brak danych,Brak danych,27 m² - 10629.63 zł/m²,Brak danych,Brak danych
150,"3 pokoje, klimatyzacja, cisza - gotowe do zamieszkania od zaraz!",419 000 złdo negocjacji,Brak danych,Brak danych,60 m² - 6983.33 zł/m²,3 pokoje,Brak danych
151,Mieszkanie Ataner osiedle Marcelin Poznań Grunwald 68m loggia,869 900 złdo negocjacji,Poznań,Brak danych,68 m² - 12792.65 zł/m²,Brak danych,Brak danych
152,Mieszkanie na sprzedaż - Os. Manhattan Gorzów Wlkp.,485 000 zł,Gorzów Wielkopolski - Odświeżono Dzisiaj O 13:54,Brak danych,"41,59 m² - 11661.46 zł/m²",Brak danych,485 piętro
