numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
3358,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
3359,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
3360,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
3361,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
3362,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
3363,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
3364,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
3365,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
3366,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
3367,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
3368,Piękne nowe mieszkanie w idealnej lokalizacji!,645 000 złdo negocjacji,Białystok,Brak danych,52 m² - 12403.85 zł/m²,Brak danych,Brak danych
3369,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
3370,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
3371,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
3372,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
3373,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
3374,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
3375,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
3376,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
3377,"Gotowiec inwestycyjny, urocza kawalerka 26,85 m2, ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,85 m² - 13370.58 zł/m²",1 pokój,Brak danych
