id,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
47,Przytulne 3 pokoje z tarasem na Saskiej Kępie,141 067 500 zł,Warszawa,Południe,61 m²,3 pokoje,5 piętro
48,"St.Mokotów, 4 pokoje + taras, Rezydencja Tagore",102 780 000 zł,Warszawa,Mokotów,106 m²,4 pokoje,3 piętro
49,"5-pokoi, ogródek, taras, Metro Wierzbno",193 120 000 zł,Warszawa,Mokotów,130 m²,5 pokoje,parter
50,"Biskupin, ul. Gersona/2 pok. balkon, rozkład",460 000 zł,Wrocław,Śródmieście,36.26 m²,2 pokoje,4 piętro
51,Kawalerka z ogródkiem na Sadach Żoliborskich,450 000 zł,Warszawa,Żoliborz,26.5 m²,1 pokoje,10 piętro
52,Mieszkanie 3 pokoje Jakubskie BEZ POŚREDNIKÓW Piwnica,690 000 zł,Toruń,Przedmieście,61 m²,3 pokoje,3 piętro
53,Sprzedam 36m2 Kraków Nowa Huta,530 000 zł,Kraków,Brak danych,36 m²,1 pokoje,3 piętro
54,Mieszkanie bezczynszowe | duży ogród | Koszalin,429 000 zł,Koszalin,Brak danych,51.26 m²,3 pokoje,parter
55,Mieszkanie Powiśle 39m2 3 piętro z balkonem Inwest,702 000 zł,Warszawa,Śródmieście,39 m²,2 pokoje,3 piętro
56,Kawalerka z widokiem na Pałac Kultury i Nauki,789 000 zł,Warszawa,Śródmieście,21 m²,1 pokoje,10 piętro
57,4-pokojowe mieszkanie 104m2 + balkon Bezpośrednio,200 zł,Katowice,Ochojec,113 m²,5 pokoje,Brak danych
58,Atal Apollina,134 zł,Gdańsk,Kolbudy,95 m²,4 pokoje,Brak danych
59,3-pokojowe mieszkanie 64m2 + loggia,873 450 zł,Kraków,Podgórze,64.7 m²,3 pokoje,4 piętro
60,Apartament 50m2 Wilanów Ogród 40m2/garaż,936 700 zł,Warszawa,Wilanów,49.3 m²,2 pokoje,parter
61,Gocławek 80m2 3 pokoje z garażem,915 000 zł,Warszawa,Wawer,79.95 m²,3 pokoje,3 piętro
62,✅MEGA RABAT✅2 pokoje 39m2✔️OGRÓDEK✅ TOP lokalizacja✅BLISKO tramwaj,439 225 zł,Poznań,Miasto,38.9 m²,2 pokoje,parter
63,❗OKAZJA❗2 pok. 43m2✅BALKON✅TANIE MP❗Tramwaj 3 min❗ Politechnika 15min,468 867 zł,Poznań,Miasto,43.04 m²,2 pokoje,2 piętro
64,"St.Mokotów, 4 pokoje + taras, Rezydencja Tagore",2 780 000 zł,Warszawa,Mokotów,106 m²,4 pokoje,3 piętro
65,3 pokoje/ balkon/ miejsce postojowe/ 62 m2,829 000 zł,Wrocław,Fabryczna,62.1 m²,3 pokoje,1 piętro
66,Dwupoziomowe mieszkanie z ogrodem i garażem na sprzedaż,699 000 zł,Brak danych,Brak danych,108.27 m²,4 pokoje,parter
67,Sprzedam mieszkanie 2 pokojowe ul. Strachocińska,489 000 zł,Wrocław,Pole,43.27 m²,2 pokoje,2 piętro
68,OKAZJA❗M2 42m2✅BALKON✅BLISKO tramwaj✅TANIE MP❗Politechnika 15 min,463 868 zł,Poznań,Miasto,42.29 m²,2 pokoje,5 piętro
69,❗PROMOCJA❗2 pok. 39m2✅TRAMWAJ✅❗TANIE MP w hali❗Tramwaj 200m✅OKAZJA,496 944 zł,Poznań,Miasto,39.44 m²,2 pokoje,1 piętro
70,OKAZJA❗Ostatnie M4 57m2✅2 BALKONY✔️Łaz+WC❗Tanie MP w hali❗OSTATNIE,581 146 zł,Poznań,Miasto,57.08 m²,4 pokoje,4 piętro
71,❗GOTOWE❗M2 39m2★BALKON✅GRATIS PODDASZE ✅klucze od ręki❗,491 947 zł,Poznań,Miasto,39.16 m²,2 pokoje,4 piętro
72,❗GOTOWE❗M3 54m2★BALKON✅GRATIS PODDASZE ❗TANIE MP w hali❗Zobacz na żywo,618 960 zł,Poznań,Miasto,54.26 m²,3 pokoje,4 piętro
73,❗OKAZJA❗3 pok.57m2✅2 balkony✔️GARDEROBA❗BLISKO tramwaj❗Tanie MP w hali,580 094 zł,Poznań,Miasto,56.6 m²,3 pokoje,3 piętro
74,★GOTOWE★4 pok 67m2 dwustronne ❗GRATIS PODDASZE❗TANIE MP w hali❗ Jasne,744 506 zł,Poznań,Miasto,67.34 m²,4 pokoje,4 piętro
75,✅HiT❗OKAZJA✅WIELKI balkon★GARDEROBA❗Tanie MP w hali❗PROMOCJA,631 810 zł,Poznań,Miasto,61.5 m²,4 pokoje,1 piętro
76,❗GOTOWE❗M4 59m2★BALKON✅GRATIS PODDASZE ❗TANIE MP ❗Umów się i zobacz,649 294 zł,Poznań,Miasto,59.5 m²,4 pokoje,4 piętro
77,WIELKI SALON❗M4 87m2★BALKON✅GRATIS wielkie PODDASZE ❗TANIE MP w hali,968 443 zł,Poznań,Miasto,87.57 m²,4 pokoje,4 piętro
78,Każdy chce ten Apartament 61m2 3 pokoje Garaż,211 400 000 zł,Warszawa,Bielany,61 m²,3 pokoje,1 piętro
