title,price,location,area,rooms
Przestronne 3 pokoje dla rodziny | Krzyki,839 000 zł,"Wrocław, Krzyki - 24 czerwca 2025","202575,11 m²",3 pokoje
Sprzedam mieszkanie,165 000 złdo negocjacji,Sławno - Odświeżono dnia 14 lipca 2025,202534 m²,Brak danych
sprzedam lokal mieszkalny,215 000 złdo negocjacji,Złocieniec - Odświeżono dnia 14 lipca 2025,"202537,30 m²",Brak danych
Przytulne 2 pokoje Wrocławska obok uczelnia WAT,610 000 zł,"Warszawa, Bemowo - Odświeżono Dzisiaj o 16:53","5335,60 m²",2 pokoje
"MIeszkanie osiedle zieleniec, bezpośrednio!",465 000 złdo negocjacji,Mała Nieszawka - Odświeżono Dzisiaj o 12:41,4154 m²,Brak danych
"Mieszkanie 2-pokojowe 54,5m2 po podłodze + GARAŻ, Lublin, Czuby",475 000 zł,Lublin - Odświeżono Dzisiaj o 13:18,"1846,10 m²",Brak danych
Apartament 3 pokojowy  - przy Motławie - obok Wyspa Spichrzów,602 800 zł,"Gdańsk, Śródmieście - Odświeżono dnia 14 lipca 2025",202550 m²,3 pokoje
"Mieszkanie w szeregu na nowym osiedlu w Słupsku, blisko morza",489 000 zł,Słupsk - Dzisiaj o 17:45,4552 m²,Brak danych
3 pokojowe na Osiedlu Królewskim!,649 000 zł,Rumia - Odświeżono Dzisiaj o 14:56,"5651,43 m²",3 pokoje
"Mieszkanie 63 m2, kom. lokat. 2 miejsca parkingowe w garażu podziemnym",640 000 zł,Góra Kalwaria - Odświeżono Dzisiaj o 11:41,4163 m²,Brak danych
"Sprzedaż mieszkania. Nowa, niższa cena",294 000 złdo negocjacji,"Łódź, Górna - Odświeżono dnia 14 lipca 2025",202538 m²,Brak danych
Mieszkanie 44 mkw na sprzedaż Mińsk Mazowiecki Klonowa 21B,570 000 złdo negocjacji,Mińsk Mazowiecki - Dzisiaj o 07:51,"5144,21 m²",Brak danych
2 pok.| Blisko SKM | Generalny remont | Sprzedam bezpośrednio,489 000 złdo negocjacji,"Gdynia, Chylonia - Odświeżono Dzisiaj o 16:47",4739 m²,2 pokoje
Okazja Nowa Cena 2 pokojowe mieszkanie przy ul. Smętka w Olsztynie,445 000 zł,Olsztyn - Odświeżono dnia 14 lipca 2025,"202547,90 m²",2 pokoje
1 PIĘTRO 2 pokoje po remoncie. Balkon.,439 999 zł,"Łódź, Bałuty - Odświeżono Dzisiaj o 18:29",2945 m²,2 pokoje
Mieszkanie na sprzedaż,800 000 zł,Lublin - Odświeżono dnia 14 lipca 2025,202562 m²,Brak danych
"OKAZJA!!! Wrocław, Mieszkanie 101m2, 4 pok, ogródek - bezpośrednio!",899 000 złdo negocjacji,"Wrocław, Psie Pole - Odświeżono Dzisiaj o 14:44","44100,80 m²",4 pokoje
"Mieszkanie 2 pokoje, 50,24 m2, Stara Ochota. Stan do remontu.",780 000 złdo negocjacji,"Warszawa, Ochota - Odświeżono Dzisiaj o 11:57","5750,24 m²",2 pokoje
Fajne po remoncie kapitalnym- możesz mieć swój ogródek,630 000 zł,"Kraków, Podgórze Duchackie - Odświeżono Dzisiaj o 16:31",3145 m²,Brak danych
"Zalesie, kawalerka  2 pokoje do zamieszkania bądź pod inwestycje",365 000 zł,Rzeszów - Odświeżono Dzisiaj o 01:47,4725 m²,2 pokoje
"OKRZEI 44, CENTRUM Żyrardowa, topowa lokalizacja ! * GWARANCJA CENY *",448 500 zł,Żyrardów - Odświeżono Dzisiaj o 10:33,3339 m²,Brak danych
"Mieszkanie 55m2, osiedle Zadole, Katowice",419 000 złdo negocjacji,"Katowice, Ligota-Panewniki - Odświeżono Dzisiaj o 00:02",0255 m²,Brak danych
Mieszkanie 49 m^2 Zduńska Wola Karsznice,279 000 złdo negocjacji,Zduńska Wola - Odświeżono Dzisiaj o 02:17,1749 m²,Brak danych
Mieszkanie Kawalerka 2 piętro,159 000 zł,Płock - Odświeżono dnia 14 lipca 2025,"202520,10 m²",Brak danych
Wprowadź się od razu – umeblowane M3,219 000 zł,Będzin - Dzisiaj o 14:47,"4738,63 m²",Brak danych
Mieszkanie tylko 700 M od morza!,169 000 zł,Mielenko - Dzisiaj o 09:43,"43107,47 m²",Brak danych
"Sprzedam mieszkanie 48,5m ul Rydza-Śmigłego, Tarnów, blok 2 piętro",385 000 złdo negocjacji,Tarnów - 14 lipca 2025,"202548,50 m²",Brak danych
Komfortowe i eleganckie mieszkanie na sprzedaz Gdynia Centrum,500 000 złdo negocjacji,"Gdynia, Działki Leśne - 05 lipca 2025","202542,10 m²",Brak danych
Mieszkanie Szczecin Płonia,580 000 zł,Mazurkowo - Odświeżono Dzisiaj o 17:06,0664 m²,Brak danych
Mieszkanie nowe o wysokim standardzie,1 037 000 zł,"Gdańsk, Letnica - Odświeżono Dzisiaj o 12:29","2957,40 m²",Brak danych
3 pokoje z balkonem ul. Wojciecha,330 000 zł,"Katowice, Giszowiec - Dzisiaj o 12:41",4154 m²,3 pokoje
Mieszkanie z wyposażeniem na sprzedaż os. Piasta,540 000 złdo negocjacji,"Białystok, Piasta I - Odświeżono dnia 14 lipca 2025","202548,20 m²",Brak danych
"NOWOCZESNE MIESZKANIE z garażem i miejscem postojowym, ul.Partyzantów.",750 000 złdo negocjacji,Siedlce - Odświeżono Dzisiaj o 11:55,5567 m²,Brak danych
Mieszkanie-Centrum-Parter-Obok Basenu-Duża Piwnica-Zapraszam,420 000 złdo negocjacji,Siemiatycze - Odświeżono dnia 14 lipca 2025,202560 m²,Brak danych
Nowe mieszkanie dwupokojowe 45m2 z garażem podziemnym/Parkowe Wzgórze,545 000 złdo negocjacji,Czechowice-Dziedzice - Odświeżono Dzisiaj o 00:12,"1244,50 m²",Brak danych
Dziewulskiego 73m2 - 4 pokoje (rozkładowe) 0/4 - NOWA CENA !!!,470 000 zł,Toruń - Odświeżono Dzisiaj o 00:17,"1773,20 m²",4 pokoje
Mieszkania z ogrodem nawet 200 m2 Ślichowice.,366 000 zł,Kielce - Odświeżono Dzisiaj o 11:06,"0636,60 m²",Brak danych
Swietne mieszkanie blisko Centrum - mozliwość aranżacji na 4 pokojowe,856 500 zł,"Kraków, Krowodrza - Odświeżono Dzisiaj o 12:23","2357,10 m²",4 pokoje
Po remoncie - 3 pokoje - blok - balkon,325 000 zł,Nowa Sól - Dzisiaj o 15:17,"1746,20 m²",3 pokoje
Kawalerka I centrum I umeblowane I Łódź,339 000 złdo negocjacji,"Łódź, Śródmieście - Odświeżono Dzisiaj o 10:22","2226,63 m²",Brak danych
"Mieszkanie 2 pokoje, 47m2 gotowe do wprowadzenia",365 000 zł,Koszalin - Odświeżono dnia 14 lipca 2025,202548 m²,2 pokoje
Nowe mieszkanie 2 pokoje z dużym ogródkiem,599 900 zł,Gdańsk - 07 lipca 2025,"202543,90 m²",2 pokoje
"REZERWACJA!!!Apartament Kołobrzeg oś. Polanki, strzeżone osiedle",599 999 złdo negocjacji,Kołobrzeg - Odświeżono Dzisiaj o 18:55,"5552,64 m²",Brak danych
Mieszkanie 2 pokojowe-40m²-miejsce postojowe-Parkitka-Bezpośrednio,340 000 zł,"Częstochowa, Parkitka - Odświeżono Dzisiaj o 19:38",40m²,2 pokoje
Mieszkanie z potencjałem +  ogródek i garaż!,180 000 zł,Dziećmierowo - 14 lipca 2025,202546 m²,Brak danych
Bezczynszowy Energooszczędny szereg z ogrodem i miejscem postojowym!,349 000 zł,Środa Wielkopolska - Dzisiaj o 08:33,3351 m²,Brak danych
"Nowe, UMEBLOWANE, mieszkanie bezczynszowe z ogródkiem! Grodzisk Wlkp",499 999 zł,Grodzisk Wielkopolski - Odświeżono Dzisiaj o 13:32,"3264,71 m²",Brak danych
Mieszkanie bezczynszowe,70 000 zł,Pilichowo - Dzisiaj o 08:58,"5828,20 m²",Brak danych
"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,"Kraków, Prądnik Biały - Odświeżono Dzisiaj o 10:19","1943,40 m²",2 pokoje
SPRZEDAM 2-pokojowe mieszkanie na parterze w centrum Myszkowa,235 000 zł,Myszków - Odświeżono Dzisiaj o 12:13,"1337,70 m²",Brak danych
Sprzedam kawalerkę w Puławach – po generalnym remoncie,210 000 zł,Puławy - Dzisiaj o 14:59,5925 m²,Brak danych
"Mieszkanie 60 m2, Jana Pawła II 27, Podolszyce Płd.    BEZPOŚREDNIO !!",425 000 złdo negocjacji,Płock - Odświeżono Dzisiaj o 16:26,2660 m²,Brak danych
Mieszkanie46m2 w świetnej lokalizacji z dużym potencjałem aranżacyjnym,365 000 złdo negocjacji,Siedlce - 02 lipca 2025,202546 m²,Brak danych
⭐Dni otwarte - Ustawne 2 pokoje - 5 min od G. Mokotów⭐,651 000 zł,"Warszawa, Mokotów - Dzisiaj o 12:48","4838,02 m²",2 pokoje
"3-pokojowe ustawne mieszkanie, bardzo dobra lokalizacja, blisko parku",360 000 złdo negocjacji,"Łódź, Widzew - 10 lipca 2025",202548 m²,Brak danych
Mieszkanie w Śródmieściu na sprzedaż,399 000 zł,Opole - 14 lipca 2025,"202536,36 m²",Brak danych
Sprzedam mieszkanie na Poniatowskiego,470 000 złdo negocjacji,Siedlce - Dzisiaj o 07:07,"0770,19 m²",Brak danych
"Nowy apartament 60,99m2 ul. Jeziorna 19B OKAZJA",610 000 złdo negocjacji,Ełk - Odświeżono dnia 14 lipca 2025,"202560,99 m²",Brak danych
"Luksusowe mieszkanie, zlokalizowane w atrakcyjnym miejscu przy lesie",549 000 złdo negocjacji,Leszno - Odświeżono dnia 14 lipca 2025,"202546,70 m²",Brak danych
"2 pokojowe, 49 m2, słoneczne - Olecko",269 000 zł,Olecko - Dzisiaj o 14:23,2349 m²,2 pokoje
Mieszkanie na sprzedaż,243 000 zł,Jaworzno - Odświeżono Dzisiaj o 15:50,5034 m²,Brak danych
Kawalerka z dużym balkonem! Cechowa/ Pogórze Duchackie - Piaski,249 900 zł,"Kraków, Podgórze Duchackie - Dzisiaj o 17:56",5621 m²,Brak danych
WYŻYNY / mieszkanie 3 pokojowe / balkon,499 000 złdo negocjacji,Bydgoszcz - Odświeżono Dzisiaj o 13:26,2653 m²,3 pokoje
"Klimatyczna kawalerka z antresolą – zabytkowa kamienica, 1. piętro",249 000 zł,Jarosław - Dzisiaj o 17:36,"3638,58 m²",Brak danych
Mieszkanie po remoncie w Łebuni!,277 000 zł,Łebunia - 14 lipca 2025,"202540,20 m²",Brak danych
Piękne 3 pokoje z balkonem.,359 000 zł,Włocławek - 12 lipca 2025,202549 m²,3 pokoje
"Mieszkanie po remoncie, osiedle XXX-lecia, 49m2",320 000 zł,Wodzisław Śląski - 19 czerwca 2025,202549 m²,Brak danych
"2 pokojowe i 3 pokojowe, nowe mieszkania w zabudowie szeregowej",370 000 zł,Puławy - 07 lipca 2025,"202546,40 m²",2 pokoje
Mieszkanie 40m2 - gotowe do odbioru,325 000 zł,"Łódź, Widzew - Odświeżono Dzisiaj o 14:07","0740,18 m²",Brak danych
"kawalerka do remontu, 1 pietro, 27 metrow, felinskiego",220 000 zł,"Łódź, Górna - Odświeżono Dzisiaj o 01:09",0927 m²,Brak danych
Twoje własne 56 m² czeka! Teraz w promocji!,340 000 zł,Będzin - Dzisiaj o 14:48,56 m²,Brak danych
Krowodrza Suterena Kawalerka 2 pokoje Wrocławska Wielkotyrnowska,165 000 zł,"Kraków, Krowodrza - 14 lipca 2025",202520 m²,2 pokoje
"Tychy, Żwaków, 3 pokoje 64,9m, duży taras",439 000 zł,Tychy - 14 lipca 2025,"202564,90 m²",3 pokoje
Mieszkanie inwestycyjne - Gdynia,390 000 zł,"Gdynia, Chylonia - 14 lipca 2025","202542,96 m²",Brak danych
REZERWACJA! BARDZO PILNA SPRZEDAŻ mieszkania od wlasciciela w centrum!,485 000 zł,Bytom - Odświeżono Dzisiaj o 01:00,"0096,86 m²",Brak danych
"LSM ul. Rzeckiego. 3 pokoje po remoncie, dostepne od zaraz.",540 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj o 12:43,"4348,20 m²",3 pokoje
Mieszkanie 3 pokojowe z otwartą kuchnią,368 000 złdo negocjacji,Wałbrzych - Odświeżono Dzisiaj o 09:37,3763 m²,3 pokoje
Sprzedam 2 pokojowe mieszkanie. Wysoki standard.,189 000 zł,Świętochłowice - Dzisiaj o 18:20,2035 m²,2 pokoje
Apartament W Orłowie W Pięknej Rezydencji,2 515 953 zł,"Gdynia, Orłowo - Odświeżono Dzisiaj o 11:39","39105,27 m²",Brak danych
Komfortowe Mieszkanie z balkonem i ogrodem Łagiewniki,420 000 złdo negocjacji,Łagiewniki - Odświeżono dnia 13 lipca 2025,202550 m²,Brak danych
"Przestronny, 3 pokojowy, dwustronny apartament na zamkniętym osiedlu!",960 000 zł,Piaseczno - 01 lipca 2025,"202585,75 m²",3 pokoje
2-pokojowe mieszkanie - Reden,330 000 zł,Dąbrowa Górnicza - Dzisiaj o 15:36,3652 m²,Brak danych
Mieszkanie. Wrzosy. Piękna okolica. Mieszkanie,554 998 zł,Toruń - Odświeżono dnia 14 lipca 2025,"202545,54 m²",Brak danych
Karolew – mieszkanie z potencjałem aranżacyjnym,364 000 zł,"Łódź, Polesie - 14 lipca 2025","202552,10 m²",Brak danych
Mieszkanie z ogródkiem,129 000 zł,Wodzisław Śląski - Odświeżono dnia 14 lipca 2025,202541 m²,Brak danych
0% PROWIZJI | KLIMATYZACJA | Wysoki standard | Tysiąclecie | 2 pokoje,379 000 zł,"Częstochowa, Tysiąclecie - Odświeżono Dzisiaj o 13:54","5443,30 m²",2 pokoje
Mieszkanie z balkonem z zasobów Wtbs,159 000 zł,Wejherowo - 14 lipca 2025,"202543,43 m²",Brak danych
2-pokojowe mieszkanie na Os. Rosochy,201 000 zł,Ostrowiec Świętokrzyski - 14 lipca 2025,202548 m²,Brak danych
"Nowe mieszkanie, Siedlce, ul. Sowińskiego, 50,55 m2",545 940 zł,Siedlce - Odświeżono Dzisiaj o 16:42,"4250,55 m²",Brak danych
"UKOŃCZONE -> Apartamenty NOWA KORABKA -> ŁOWICZ, ul. Matejki",348 480 zł,Łowicz - Odświeżono Dzisiaj o 10:38,"3839,60 m²",Brak danych
Osiedle Dziekana - 2 pokoje z balkonem- do odświeżenia!,287 000 zł,"Czeladź, Piaski - Dzisiaj o 15:49",4945 m²,2 pokoje
