title,price,location,area,rooms
Okazja!2pokoje z możliwością 3-Świetna lokalizacja Powstańców Warszawy,349 000 złdo negocjacji,Zielona Góra - Odświeżono Dzisiaj o 17:11,"1144,90 m²",2 pokoje
3pokoje z loggią! Os. Chrobrego - niski blok,569 000 zł,"Poznań, Śródka - Dzisiaj o 17:09","0963,80 m²",3 pokoje
sprzedam mieszkanie,259 000 zł,Bartoszyce - Odświeżono dnia 13 lipca 2025,"202556,70 m²",Brak danych
"APARTAMENT 450 m od MORZA | NIECHORZE | bezpośrednio, bez PROWIZJI!",712 170 złdo negocjacji,Niechorze - 14 lipca 2025,202548 m²,Brak danych
"Księże Małe, ul. Chorzowska/3 pokoje, po remoncie",584 900 zł,"Wrocław, Krzyki - 04 lipca 2025","202548,30 m²",3 pokoje
"Mieszkanie 3 pokojowe - Gdynia Obłuże Centrum, Unruga",579 000 złdo negocjacji,"Gdynia, Obłuże - Odświeżono dnia 14 lipca 2025","202553,20 m²",3 pokoje
Sprzedam mieszkanie - Os. Bocianek 2 pokoje,390 000 złdo negocjacji,Kielce - Odświeżono Dzisiaj o 16:05,"0547,30 m²",2 pokoje
"2-pokojowe ""m"" w pełnym rozkładzie, duża ustawna kuchnia, parter!!!",304 900 złdo negocjacji,"Łódź, Bałuty - Odświeżono Dzisiaj o 10:06","0646,10 m²",Brak danych
"Kawalerka 38 m² za odstępne – Łódź Górna, okolice Placu Niepodległości",25 000 złdo negocjacji,"Łódź, Górna - Dzisiaj o 15:41",38 m²,Brak danych
!-Okazja-5min Do Rynku-2pok-Media Miejskie-Zieleń-,455 000 zł,"Wrocław, Stare Miasto - Odświeżono Dzisiaj o 00:12","1242,10 m²",2 pokoje
Piękne 100 m2 świeżo po remoncie. Klima. Okolice Wyspy Młyńskiej,489 000 zł,Bydgoszcz - Odświeżono Dzisiaj o 01:32,3263 m²,Brak danych
"Bezpośrednio 2 pokoje Kraków,Os. Albertyńskie!Do zamieszkania",689 000 złdo negocjacji,"Kraków, Czyżyny - Odświeżono Dzisiaj o 09:51","5142,28 m²",2 pokoje
"Mieszkanie 3 pokojowe / parter - Zabrze, Zaborze",280 000 zł,Zabrze - Odświeżono Dzisiaj o 13:42,4247 m²,3 pokoje
"Rezerwacja Mieszkanie 3 pokojowe, pow. 46,85 m2, 1 piętro, niski blok.",395 000 złdo negocjacji,"Łódź, Górna - Odświeżono Dzisiaj o 15:36","3646,85 m²",3 pokoje
"Lublin, os. Botanik - mieszkanie 1 pok. z miejscem parkingowym.",369 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj o 07:42,4231 m²,1 pokoje
Dwupokojowe mieszkanie | os. Generałów | ul. Grota-Roweckiego,550 000 zł,Olsztyn - 22 czerwca 2025,"202549,84 m²",Brak danych
Kawalerka Premium ul. Krzemieniecka 8 Bezpośrednio,580 000 zł,"Warszawa, Bielany - 22 czerwca 2025","202524,81 m²",Brak danych
Centrum Gdańska TOP Lokalizacja | Moż. 4 pok | 2 Balkony | 1 - Piętro,949 900 zł,"Gdańsk, Śródmieście - Odświeżono dnia 13 lipca 2025",202567 m²,4 pokoje
Mieszkanie na sprzedaż Aleja Słowackiego,579 000 złdo negocjacji,"Kraków, Krowodrza - Odświeżono Dzisiaj o 19:48",4829 m²,Brak danych
"Kawalerka pod inwestycję, parter, obok Hanza Tower, spółdzielcze",309 000 zł,"Szczecin, Centrum - Odświeżono Dzisiaj o 00:45","4529,54 m²",Brak danych
